Test finished: February 26, 2025 at 11:46:59 AM
Coverage Begin: 0
CoverageEnd: 3
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
181, 89, 0, 0, 0, 0, 8, 9, 0, 0, 0, 12, 11, 0, 0, 0, 0, 0
181, 88, 837, 0, 0, 0, 8, 9, 0, 0, 0, 12, 10, 0, 0, 0, 0, 0
179, 87, 1819, 0, 0, 0, 10, 9, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0
181, 90, 2677, 0, 0, 0, 8, 9, 0, 0, 0, 10, 10, 0, 0, 0, 0, 0
183, 90, 3515, 0, 0, 0, 8, 10, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0
179, 89, 4496, 0, 0, 0, 10, 9, 0, 0, 0, 11, 10, 0, 0, 0, 0, 0
179, 88, 5360, 0, 0, 0, 9, 8, 0, 0, 0, 12, 10, 0, 0, 0, 0, 0
183, 88, 6197, 0, 0, 0, 8, 10, 0, 0, 0, 12, 10, 0, 0, 0, 0, 0
183, 90, 7168, 0, 0, 0, 8, 10, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0
179, 88, 8032, 0, 0, 0, 10, 9, 0, 0, 0, 12, 10, 0, 0, 0, 0, 0
179, 87, 8837, 0, 0, 0, 10, 9, 0, 0, 0, 13, 10, 0, 0, 0, 0, 0
181, 90, 9744, 0, 0, 0, 8, 9, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0
181, 89, 10549, 0, 0, 0, 8, 9, 0, 0, 0, 12, 11, 0, 0, 0, 0, 0
181, 89, 11381, 0, 0, 0, 8, 9, 0, 0, 0, 11, 10, 0, 0, 0, 0, 0
183, 89, 12229, 0, 0, 0, 8, 10, 0, 0, 0, 11, 10, 0, 0, 0, 0, 0
181, 90, 13024, 0, 0, 0, 8, 9, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0
179, 91, 13824, 0, 0, 0, 10, 9, 0, 0, 0, 10, 11, 0, 0, 0, 0, 0
183, 88, 14624, 0, 0, 0, 8, 10, 0, 0, 0, 11, 9, 0, 0, 0, 0, 0
183, 90, 15419, 0, 0, 0, 8, 10, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0
181, 89, 16224, 0, 0, 0, 8, 9, 0, 0, 0, 12, 11, 0, 0, 0, 0, 0
181, 90, 17024, 0, 0, 0, 10, 11, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0
